-2841,-32644,-2841,-32644
523,-32763,523,-32763
3882,-32536,3882,-32536
7199,-31966,7199,-31966
10441,-31059,10441,-31059
13572,-29824,13572,-29824
16561,-28274,16561,-28274
19374,-26426,19374,-26426
21983,-24299,21983,-24299
24360,-21915,24360,-21915
26480,-19300,26480,-19300
28320,-16482,28320,-16482
29862,-13489,29862,-13489
31088,-10354,31088,-10354
31986,-7110,31986,-7110
32547,-3791,32547,-3791
32764,-432,32764,-432
32636,2932,32636,2932
32163,6265,32163,6265
31350,9532,31350,9532
30207,12698,30207,12698
28745,15730,28745,15730
26979,18596,26979,18596
24929,21266,24929,21266
22616,23711,22616,23711
20064,25906,20064,25906
17300,27828,17300,27828
14354,29456,14354,29456
11256,30773,11256,30773
8039,31766,8039,31766
4738,32423,4738,32423
1386,32738,1386,32738
-1980,32707,-1980,32707
-5325,32331,-5325,32331
-8614,31615,-8614,31615
-11812,30564,-11812,30564
-14885,29191,-14885,29191
-17802,27510,-17802,27510
-20530,25538,-20530,25538
-23042,23297,-23042,23297
-25310,20810,-25310,20810
-27312,18103,-27312,18103
-29025,15206,-29025,15206
-30432,12148,-30432,12148
-31518,8961,-31518,8961
-32271,5681,-32271,5681
-32683,2340,-32683,2340
-32751,-1026,-32751,-1026
-32473,-4380,-32473,-4380
-31852,-7689,-31852,-7689
-30895,-10916,-30895,-10916
-29612,-14028,-29612,-14028
-28017,-16992,-28017,-16992
-26125,-19777,-26125,-19777
-23959,-22353,-23959,-22353
-21539,-24693,-21539,-24693
-18892,-26773,-18892,-26773
-16045,-28570,-16045,-28570
-13029,-30065,-13029,-30065
-9876,-31243,-9876,-31243
-6619,-32092,-6619,-32092
-3291,-32601,-3291,-32601
71,-32767,71,-32767
3432,-32587,3432,-32587
6757,-32063,6757,-32063
10011,-31200,10011,-31200
13159,-30008,13159,-30008
16169,-28500,16169,-28500
19007,-26691,19007,-26691
21645,-24600,21645,-24600
24055,-22249,24055,-22249
26211,-19664,26211,-19664
28090,-16871,28090,-16871
29673,-13900,29673,-13900
30942,-10782,30942,-10782
31885,-7551,31885,-7551
32492,-4240,32492,-4240
32755,-884,32755,-884
32673,2481,32673,2481
32246,5820,32246,5820
31479,9098,31479,9098
30379,12279,30379,12279
28959,15331,28959,15331
27233,18222,27233,18222
25220,20919,25220,20919
22941,23397,22941,23397
20419,25627,20419,25627
17682,27586,17682,27586
14759,29255,14759,29255
11680,30615,11680,30615
8477,31652,8477,31652
5185,32354,5185,32354
1838,32715,1838,32715
-1528,32731,-1528,32731
-4878,32402,-4878,32402
-8177,31730,-8177,31730
-11389,30724,-11389,30724
-14481,29394,-14481,29394
-17420,27753,-17420,27753
-20176,25819,-20176,25819
-22718,23613,-22718,23613
-25021,21157,-25021,21157
-27059,18479,-27059,18479
-28812,15605,-28812,15605
-30261,12567,-30261,12567
-31391,9396,-31391,9396
-32189,6126,-32189,6126
-32648,2791,-32648,2791
-32762,-574,-32762,-574
-32530,-3932,-32530,-3932
-31955,-7248,-31955,-7248
-31043,-10489,-31043,-10489
-29803,-13618,-29803,-13618
